version 1
button_label_accept	Accept
setting_gog_galaxy_program_data_path_title	ProgramData path
setting_gog_galaxy_starting_bangs_description	These Rainmeter bangs are executed just before any GOG Galaxy game launches.
setting_gog_galaxy_stopping_bangs_description	These Rainmeter bangs are executed just after any GOG Galaxy game terminates.
setting_localization_language_description	Select a language.
setting_localization_language_title	Language
setting_logging_description	If enabled, then a bunch of messages are printed to the Rainmeter log. Useful when troubleshooting issues.
setting_logging_title	Log
setting_number_of_backups_description	The number of daily backups to keep of the list of games.
setting_number_of_backups_title	Number of backups
setting_shortcuts_enabled_description	If enabled, then Windows shortcuts placed in the designated folder will be included.
setting_shortcuts_open_folder_description	Shortcuts and their banners should be placed in this folder. The banners should be named after their corresponding shortcut.
setting_shortcuts_open_folder_title	Folder
setting_shortcuts_starting_bangs_description	These Rainmeter bangs are executed just before any Windows shortcut game launches.
setting_shortcuts_stopping_bangs_description	These Rainmeter bangs are executed just after any Windows shortcut game terminates.
setting_shortcuts_title	Windows shortcuts
setting_skin_animation_description	The animation that is played when the mouse leaves the skin. The animation is played in reverse when the mouse enters the skin\'s enabler edge.
setting_skin_animation_title	Skin animation
setting_skin_hide_skin_description	If enabled, then the skin is hidden while playing a game.
setting_skin_hide_skin_title	Hide skin while playing
setting_skin_revealing_delay_description	The duration (in milliseconds) before the skin animation is played in order to reveal the skin.
setting_skin_revealing_delay_title	Revealing delay
setting_skin_scroll_step_description	The number of games that are scrolled at each scroll event.
setting_skin_scroll_step_title	Scroll step
setting_skin_title	Skin
setting_slots_center_on_monitor_description	If enabled, then some windows (e.g. sort, filter) are centered on the monitor that the main window of this skin is on.
setting_slots_center_on_monitor_title	Center windows on the current monitor
setting_slots_click_animation_description	The animation that plays when a slot is clicked.
setting_slots_click_animation_title	Slot click animation
setting_slots_columns_description	The number of columns of slots.
setting_slots_columns_title	Number of columns
setting_slots_double_click_to_launch_description	If enabled, then a game has to be double-clicked to launched.
setting_slots_double_click_to_launch_title	Double-click to launch.
setting_slots_height_description	The height of each slot in pixels.
setting_slots_height_title	Slot height
setting_slots_horizontal_orientation_description	If enabled, then slots are placed from left to right. If disabled, then slots are placed from the top to the bottom.
setting_slots_horizontal_orientation_title	Horizontal orientation
setting_slots_hover_animation_description	The animation that plays when the mouse is on a slot.
setting_slots_hover_animation_title	Slot hover animation
setting_slots_overlay_enabled_description	If enabled, then an overlay with contextual information is displayed when the mouse is on a slot.
setting_slots_overlay_enabled_title	Show overlay on slots
setting_slots_rows_description	The number of rows of slots.
setting_slots_rows_title	Number of rows
setting_slots_toolbar_at_top_description	If enabled, then the toolbar is at the top of the skin.
setting_slots_toolbar_at_top_title	Toolbar at the top
setting_slots_width_description	The width of each slot in pixels.
setting_slots_width_title	Slot width
setting_steam_account_description	Choose the Steam account whose games to get.
setting_steam_account_title	Account
setting_steam_client_path_description	This should be the folder that contains the Steam client executable.
setting_steam_community_profile_description	If enabled, then the Steam community profile will be downloaded and parsed to get:\n- All games associated with the chosen account even if not installed at the moment.\n- The total hours played of each game associated with the chosen account.\n\nRequires that the Game details setting in the Steam profile's privacy settings is set as public.
setting_steam_community_profile_title	Parse community profile
setting_steam_enabled_description	If enabled, then games installed via the Steam client will be included. Non-Steam game shortcuts that have been added to Steam will also be included.
setting_steam_starting_bangs_description	These Rainmeter bangs are executed just before any Steam game launches.
setting_steam_stopping_bangs_description	These Rainmeter bangs are executed just after any Steam game terminates.
sort_alphabetically	Alphabetically
sort_last_played	Most recently played
sort_window_title	Sort
status_initializing	Initializing
